,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Named Candidate/Partylist
0,ABS-CBN News,@ABSCBNNews,2025-09-14T00:45:13.000Z,TRUE,"JUST IN: Comelec will proclaim Gabriela party-list 1st nominee Sarah Elago as 64th winning party-list representative in #Halalan2025, Chairman George Erwin Garcia said on Sunday, September 14.
 
Garcia said it is to comply with constitutional requirement that party-list",106,4.8K,18K,926K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1967026817623355632,tweet_id:1967026817623355632,
1,Job Manahan,@manahan_job,2025-06-17T02:42:03.000Z,FALSE,"Comelec Commissioner Rey Bulay leads the deletion of files containing the ballot faces, voter information sheet for the midterm elections at the National Printing Office #Halalan2025 ",2,1,3,787,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1934803697722380411,tweet_id:1934803697722380411,
2,rie,@vsgyaki,2025-05-17T15:22:37.000Z,FALSE,Panoorin: Mensahe ni Niña Robredo para sa kanyang mga tagasuporta.#Halalan2025,1,52,231,7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1970147190292258816/fgnW0rtF_bigger.jpg,https://x.com/vsgyaki/status/1923761077374075233,tweet_id:1923761077374075233,
3,Jesus Falcis,@jesusfalcis,2025-05-30T09:26:58.000Z,TRUE,"Kaya tayo nasasabihang Uni-Pink eh haha!

But thanks for the endorsement of Kiko-Bam, Secretary Larry Gadon. At least DDS na lang sinisigawan mo ng 8080!!#Halalan2025#KikoPangilinan",50,53,916,66K,"['#Halalan2025', '#KikoPangilinan']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1928382617683964151,tweet_id:1928382617683964151,
4,Angela Baron,@_rainbowfighter,2025-05-16T08:28:53.000Z,FALSE,"1 of the more than 8.7M who voted  for Senator! 

Proud to have done so. #Halalan2025",12,20,229,4.1K,['#Halalan2025'],['@HeidiMendoza45'],[],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1923294571171025000,tweet_id:1923294571171025000,
5,ᜃ,@1wony1diva,2025-06-08T07:53:23.000Z,FALSE,Just mapped the 2025 Philippine Senate Election by showing the electoral affiliation of every topnotcher candidate by province. This map is also on the Wikipedia page of the election. #Halalan2025 ,4,25,121,6.2K,['#Halalan2025'],['@IanIslander3'],[],https://pbs.twimg.com/profile_images/1913160175336464384/vJ8F-d7Q_bigger.jpg,https://x.com/1wony1diva/status/1931620556627153280,tweet_id:1931620556627153280,
6,JPG,@joel_gregorio,2025-05-22T12:42:11.000Z,FALSE,"Sal Panelo points out that many of those in Duterte’s slate “did not pass” the standards of younger, 'more EDUCATED' voters. #Halalan2025 

The Rise and Political Significance of Gen-Z?",2,5,14,500,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1572739983060115457/-jHHuHGX_bigger.jpg,https://x.com/joel_gregorio/status/1925532643472638081,tweet_id:1925532643472638081,
7,Cleve V. Arguelles,@CleveArguelles,2025-05-19T08:00:30.000Z,TRUE,Four of the top 10 partylists this #Halalan2025 are regional parties or partylists with most of its votes coming from only one or two core regions. The rest are either sectoral or national partylists with most of its votes drawn from a combination of the vote richest regions of,2,10,89,6.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1736587454008983553/jMG0b9UQ_bigger.jpg,https://x.com/CleveArguelles/status/1924374593533595698,tweet_id:1924374593533595698,
8,Job Manahan,@manahan_job,2025-06-12T03:20:03.000Z,FALSE,"Comelec says they would publicize the Statements of Contributions and Expenditures (SOCE) of senatorial candidates and partylists in the midterm elections, as part of their transparency measures. #Halalan2025 ",1,0,1,165,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1933001323751899314,tweet_id:1933001323751899314,
9,Job Manahan,@manahan_job,2025-07-08T11:48:10.000Z,FALSE,"LOOK: Comelec publishes SOCE of senatorial candidates, partylists, and political parties this #Halalan2025.  

Details on contributions received, expenditures incurred, total of ""lawful expenditures"" are so far available on the Comelec website. ",0,0,1,152,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1942551280465183013,tweet_id:1942551280465183013,
10,Jervis Manahan,@JervisManahan,2025-05-16T01:21:38.000Z,FALSE,"Snaps from our #Halalan2025 thanksgiving party last night. Meaningful way to celebrate our hard work and successful coverage of the recent elections, especially with all the people who worked off cam to bring you the news. So happy to see everyone. Iba talaga ang tatak Kapamilya!",6,15,272,5.7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1967536142733246464/zrZznV2b_bigger.jpg,https://x.com/JervisManahan/status/1923187050208989436,tweet_id:1923187050208989436,
11,Jesus Falcis,@jesusfalcis,2025-07-28T02:34:00.000Z,TRUE,"20th Congress about to start and Risa-Kiko-Bam taking a picture together gives me hope.

San man sila mapunta, majority or minority eh mukhang “I’ll be there for you” naman sila sa isa’t isa.#Halalan2025",35,136,1.3K,47K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1949659578054111438,tweet_id:1949659578054111438,
12,MessMinchin_BINIChella,@MessMinchin3,2025-05-17T23:26:01.000Z,FALSE,It is your right naman to demand a recount pero sana tanggapin na lang. #BeGraciousInDefeat #Halalan2025,3,7,77,11K,"['#BeGraciousInDefeat', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1643443147132002305/O5YOVT6e_bigger.jpg,https://x.com/MessMinchin3/status/1923882731869700352,tweet_id:1923882731869700352,
13,Job Manahan,@manahan_job,2025-06-11T05:22:20.000Z,FALSE,Manibela chairman and #Halalan2025 senatorial candidate Mar Valbuena submits his SOCE here at the Palacio del Gobernador. ,1,0,1,229,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1932669708433830086,tweet_id:1932669708433830086,Mar Valbuena
14,WR Numero,@WR_Numero,2025-06-02T09:35:42.000Z,FALSE," WATCH OUT: WR Numero President & CEO Cleve V. Arguelles joins The View from Manila with Richard Heydarian to discuss the outcome of #Halalan2025 and the upcoming impeachment trial of VP Sara Duterte 

Watch out for the full episode! ",2,3,9,2.9K,['#Halalan2025'],[],"['\\U0001f3a5', '\\U0001f4cc']",https://pbs.twimg.com/profile_images/1943273769960652800/Sg7F31bQ_bigger.jpg,https://x.com/WR_Numero/status/1929471977988718802,tweet_id:1929471977988718802,
15,Jesus Falcis,@jesusfalcis,2025-07-21T10:52:34.000Z,TRUE,"Avenger’s Assemble ng progressive politics which includes non-politicians like Prof. Cielo Magno and Christian Esguerra!

Kaso, walang Kiko-Bam. Sadge.#Akbayan#Halalan2025",48,91,571,28K,"['#Akbayan', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1947248330011984031,tweet_id:1947248330011984031,
16,EU EOM Philippines 2025,@EUeomPH2025,2025-07-04T05:20:27.000Z,FALSE,"The Final Report includes 21 recommendations that the EU EOM, in line with its mandate, offers for the consideration of Philippines’ political and electoral authorities, political parties, civil society, and the public at large.#Halalan2025 #Eleksyon2025 #Eleksyon",0,1,5,121,"['#Halalan2025', '#Eleksyon2025', '#Eleksyon']",[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1941004156455866869,tweet_id:1941004156455866869,
17,TitoTok #HoldTheLine,@TitoTok88,2025-05-19T03:05:23.000Z,FALSE,"No public info on Duterte Youth’s 2nd & 3rd nominees—rumored PMA/PNPA grads. Were they dismissed from service? Now eyeing politics? Just asking.  #Halalan2025 #DisqualifyDuterteYouth  facebook.com/share/p/12E6QU
…",2,6,17,5.2K,"['#Halalan2025', '#DisqualifyDuterteYouth']",[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1950072015182053376/r4Vy6hfH_bigger.jpg,https://x.com/TitoTok88/status/1924300323168076126,tweet_id:1924300323168076126,PM
18,کعبۃ اللہ | Makkah,@HolyMakkah01,2025-06-05T16:55:05.000Z,FALSE,Towards Muzdalfa #halalan2025,0,8,50,1.4K,['#halalan2025'],[],[],https://pbs.twimg.com/profile_images/1520679698342236161/MSufd79f_bigger.jpg,https://x.com/HolyMakkah01/status/1930669716969758769,tweet_id:1930669716969758769,
19,EU EOM Philippines 2025,@EUeomPH2025,2025-07-03T10:04:26.000Z,FALSE,"Highlights from the speech of EU EOM Chief Observer Marta Temido. Today, she presented the Final Report of the EU mission, which includes 21 recommendations aimed at enhancing transparency, fostering participation and consolidating the legal framework.#Philippines #Halalan2025",0,1,4,110,"['#Philippines', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1940713236023886204,tweet_id:1940713236023886204,
20,Cleve V. Arguelles,@CleveArguelles,2025-05-17T12:27:18.000Z,TRUE,And that’s a wrap for #Halalan2025. First on air as the voting precincts opened on 12 May morning and signed off as we proclaimed our new Senators-elect today 17 May afternoon. Lots of thank you notes to write in the coming days but for now we rescue the weekend. Maraming,7,1,272,7.1K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1736587454008983553/jMG0b9UQ_bigger.jpg,https://x.com/CleveArguelles/status/1923716956877898060,tweet_id:1923716956877898060,
21,EU EOM Philippines 2025,@EUeomPH2025,2025-07-03T14:08:31.000Z,FALSE,"The Manila Bulletin reports on the press conference of the EU Election Observation Mission.
Chief Observer Marta Temido presented a 106-page report, which includes 21 recommendations to improve future elections in the Philippines.mb.com.ph/2025/07/03/in-
…#Halalan2025",0,1,5,56,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1940774660435804204,tweet_id:1940774660435804204,
22,Job Manahan,@manahan_job,2025-05-21T09:50:47.000Z,FALSE,Mainit ang naging diskusyon sa isang press briefing kaugnay sa umano'y pagbabago ng build version ng automated counting machine na ginamit sa #Halalan2025.,1,0,2,191,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1925127121409876278,tweet_id:1925127121409876278,
23,Job Manahan,@manahan_job,2025-07-18T03:45:09.000Z,FALSE,"ONGOING: Comelec holds post-election assessment of the secure electronic transmission services during #Halalan2025. 

Technical staff, executives of poll watchdogs and members of the media are present in the discussion. ",0,1,2,139,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1946053603246182628,tweet_id:1946053603246182628,
24,Jesus Falcis,@jesusfalcis,2025-07-14T06:05:15.000Z,TRUE,"A picture is worth a thousand words.

From Governor Vilma Santos' face to Luis Manzano looking at the man who defeated him for the Vice Governorship - Dodo Mandanas.

If you're into Batangas politics, this would be very intriguing to you.#Batangas#Halalan2025",4,5,54,4.8K,"['#Batangas', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1944639308536938536,tweet_id:1944639308536938536,
25,Job Manahan,@manahan_job,2025-07-10T06:58:26.000Z,FALSE,"Comelec Chairman George Garcia says he is ""not afraid"" and instead welcomed the criminal complaints filed against him at  NBI by bishops, civic leaders regarding #Halalan2025. 

""Handa tayong humarap at magbigay ng dokumento sa kung sino man po ang mag-iimbestiga."" ",1,0,2,148,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1943203139278246294,tweet_id:1943203139278246294,
